"","reads.in","reads.out"
"012024-BEL-CBC-T1-557-SSID_S56_R1_16S.fastq",189570,175359
"012024-BEL-CBC-T1-563-PSTR_S68_R1_16S.fastq",98511,89002
"012024-BEL-CBC-T2-601-OFAV_S58_R1_16S.fastq",280308,263276
"012024-BEL-CBC-T2-605-SSID_S83_R1_16S.fastq",1116,924
"012024-BEL-CBC-T3-627-PAST_S81_R1_16S.fastq",6549,5112
"012024-BEL-CBC-T3-631-MCAV_S61_R1_16S.fastq",536790,494756
"012024-BEL-CBC-T3-633-MCAV_S69_R1_16S.fastq",163169,154646
"012024-BEL-CBC-T3-637-SSID_S70_R1_16S.fastq",22749,21087
"012024-BEL-CBC-T4-661-PSTR_S71_R1_16S.fastq",464328,425153
"012024-BEL-CBC-T4-663-PSTR_S82_R1_16S.fastq",1295,1039
"022024-BEL-CBC-T1-775-OANN_S93_R1_16S.fastq",2146,1732
"022024-BEL-CBC-T1-776-PSTR_S59_R1_16S.fastq",115016,104031
"022024-BEL-CBC-T2-804-OFAV_S87_R1_16S.fastq",5900,4830
"022024-BEL-CBC-T2-814-MCAV_S1_R1_16S.fastq",3376,2794
"022024-BEL-CBC-T3-851-PSTR_S13_R1_16S.fastq",647444,550445
"022024-BEL-CBC-T4-874-OFAV_S89_R1_16S.fastq",2133,1766
"022024-BEL-CBC-T4-875-MCAV_S76_R1_16S.fastq",198640,188376
"042024-BEL-CBC-T1-927-PSTR_S67_R1_16S.fastq",61333,57598
"042024-BEL-CBC-T2-1014-OFAV_S95_R1_16S.fastq",2258,1900
"042024-BEL-CBC-T2-1018-PAST_S15_R1_16S.fastq",2381999,2239539
"042024-BEL-CBC-T2-1026-OFAV_S91_R1_16S.fastq",680,592
"042024-BEL-CBC-T2-1144-MCAV_S3_R1_16S.fastq",751,622
"042024-BEL-CBC-T3-960-OFAV_S4_R1_16S.fastq",487,397
"042024-BEL-CBC-T4-1046-PSTR_S60_R1_16S.fastq",205803,158090
"042024-BEL-CBC-T4-1047-MCAV_S92_R1_16S.fastq",478,392
"052022-BEL-CBC-T1-2-SSID_S8_R1_16S.fastq",1016,796
"052022-BEL-CBC-T2-1-SSID_S57_R1_16S.fastq",580209,537638
"052022-BEL-CBC-T2-71-OFAV_S21_R1_16S.fastq",2606,2114
"052022-BEL-CBC-T2-9-PAST_S23_R1_16S.fastq",2943,2459
"052022-BEL-CBC-T3-11-PAST_S19_R1_16S.fastq",540,426
"052022-BEL-CBC-T3-13-MCAV_S5_R1_16S.fastq",3730,2996
"052022-BEL-CBC-T3-19-MCAV_S6_R1_16S.fastq",1347,1083
"052022-BEL-CBC-T3-66-OFAV_S40_R1_16S.fastq",107989,96814
"052022-BEL-CBC-T3-8-PAST_S17_R1_16S.fastq",2442,1902
"062019-BEL-CBC-T1-21-PAST_S16_R1_16S.fastq",46776,40162
"062019-BEL-CBC-T1-22-MCAV_S18_R1_16S.fastq",705,587
"062019-BEL-CBC-T2-18-MCAV_S79_R1_16S.fastq",63110,58377
"062019-BEL-CBC-T3-1-MCAV_S48_R1_16S.fastq",88225,82910
"062024-BEL-CBC-T1-1347-OANN_S65_R1_16S.fastq",123368,116352
"062024-BEL-CBC-T1-1353-MCAV_S86_R1_16S.fastq",3135,2488
"062024-BEL-CBC-T2-1375-SSID_S33_R1_16S.fastq",9815885,9239604
"062024-BEL-CBC-T2-1396-MCAV_S49_R1_16S.fastq",919507,871747
"062024-BEL-CBC-T3-1415-MCAV_S50_R1_16S.fastq",196009,184588
"062024-BEL-CBC-T3-1433-PSTR_S2_R1_16S.fastq",1443,1292
"062024-BEL-CBC-T3-1439-OFAV_S41_R1_16S.fastq",2626,2198
"062024-BEL-CBC-T3-1442-OFAV_S35_R1_16S.fastq",628275,592349
"082024-BEL-CBC-T1-1479-PAST_S47_R1_16S.fastq",3366,2969
"082024-BEL-CBC-T1-1482-OANN_S36_R1_16S.fastq",123299,114540
"082024-BEL-CBC-T2-1510-PAST_S94_R1_16S.fastq",1340,1120
"082024-BEL-CBC-T3-1554-OANN_S14_R1_16S.fastq",928732,840011
"082024-BEL-CBC-T3-1558-MCAV_S34_R1_16S.fastq",330412,308088
"082024-BEL-CBC-T3-1560-PSTR_S54_R1_16S.fastq",412870,387466
"082024-BEL-CBC-T3-1561-MCAV_S38_R1_16S.fastq",419863,391091
"082024-BEL-CBC-T3-1562-OFAV_S31_R1_16S.fastq",6252156,5933767
"082024-BEL-CBC-T4-1606-PSTR_S25_R1_16S.fastq",275304,256348
"082024-BEL-CBC-T4-1607-PSTR_S90_R1_16S.fastq",441,367
"082024-BEL-CBC-T4-1609-OFAV_S12_R1_16S.fastq",983222,932394
"092023-BEL-CBC-T1-171-PAST_S42_R1_16S.fastq",1556,1398
"092023-BEL-CBC-T1-175-PAST_S7_R1_16S.fastq",3420,2852
"092023-BEL-CBC-T2-174-SSID_S46_R1_16S.fastq",2321,2063
"092023-BEL-CBC-T2-181-PAST_S63_R1_16S.fastq",864136,782181
"092023-BEL-CBC-T2-184-MCAV_S37_R1_16S.fastq",11706940,10962487
"092023-BEL-CBC-T3-171-OFAV_S78_R1_16S.fastq",2039540,1922952
"092023-BEL-CBC-T3-173-OFAV_S84_R1_16S.fastq",2186,1742
"092023-BEL-CBC-T3-178-PAST_S74_R1_16S.fastq",768250,714495
"092023-BEL-CBC-T3-195-PSTR_S66_R1_16S.fastq",46134,43218
"092023-BEL-CBC-T4-92-PSTR_S43_R1_16S.fastq",623,500
"092023-BEL-CBC-T4-94-MCAV_S85_R1_16S.fastq",6222,4829
"102019-BEL-CBC-T1-29-PSTR_S22_R1_16S.fastq",1479,1225
"112023-BEL-CBC-T1-276-MCAV_S26_R1_16S.fastq",150280,141602
"112023-BEL-CBC-T2-304-OFAV_S72_R1_16S.fastq",801290,744380
"112023-BEL-CBC-T2-307-SSID_S62_R1_16S.fastq",849647,794125
"112023-BEL-CBC-T2-310-MCAV_S55_R1_16S.fastq",466146,415350
"112023-BEL-CBC-T3-352-PAST_S30_R1_16S.fastq",853171,709347
"112023-BEL-CBC-T3-355-PSTR_S10_R1_16S.fastq",100623,94015
"112023-BEL-CBC-T4-399-MCAV_S9_R1_16S.fastq",265563,240294
"112023-BEL-CBC-T4-401-MCAV_S53_R1_16S.fastq",267630,252243
"122022-BEL-CBC-T3-123-PAST_S20_R1_16S.fastq",528,429
"122022-BEL-CBC-T3-124-PAST_S64_R1_16S.fastq",531846,416042
"122022-BEL-CBC-T3-126-SSID_S77_R1_16S.fastq",449752,388877
"122022-BEL-CBC-T3-127-OFAV_S32_R1_16S.fastq",883470,823510
"122022-BEL-CBC-T3-141-PSTR_S80_R1_16S.fastq",642773,603880
"122022-BEL-CBC-T3-142-MCAV_S24_R1_16S.fastq",37542,34751
"122023-BEL-CBC-T1-507-PAST_S51_R1_16S.fastq",536020,492982
"122023-BEL-CBC-T1-508-SSID_S75_R1_16S.fastq",400350,379134
"122023-BEL-CBC-T2-513-SSID_S45_R1_16S.fastq",2606,2170
"122023-BEL-CBC-T2-515-PAST_S73_R1_16S.fastq",332780,311305
"122023-BEL-CBC-T2-518-MCAV_S27_R1_16S.fastq",171458,160835
"122023-BEL-CBC-T2-522-MCAV_S88_R1_16S.fastq",2040,1557
"122023-BEL-CBC-T3-524-OFAV_S39_R1_16S.fastq",474846,443097
"122023-BEL-CBC-T3-525-PAST_S29_R1_16S.fastq",588421,539732
"122023-BEL-CBC-T3-526-SSID_S11_R1_16S.fastq",176648,164150
"122023-BEL-CBC-T3-531-PSTR_S28_R1_16S.fastq",171959,160331
"122023-BEL-CBC-T3-532-MCAV_S52_R1_16S.fastq",552104,507495
"122023-BEL-CBC-T4-539-MCAV_S44_R1_16S.fastq",784,682
"Negative_S96_R1_16S.fastq",667,537
"Undetermined_S0_R1_16S.fastq",1026032,540104
