"","Tubelabel_species","Date_16S","reads.in","reads.out"
"1","012024_BEL_CBC_T1_557_SSID","3_4_2025",189570,175359
"2","012024_BEL_CBC_T1_563_PSTR","3_6_2025",98511,89002
"3","012024_BEL_CBC_T2_601_OFAV","3_4_2025",280308,263276
"4","012024_BEL_CBC_T2_605_SSID","3_10_2025",1116,924
"5","012024_BEL_CBC_T3_627_PAST","3_10_2025",6549,5112
"6","012024_BEL_CBC_T3_631_MCAV","3_4_2025",536790,494756
"7","012024_BEL_CBC_T3_633_MCAV","3_6_2025",163169,154646
"8","012024_BEL_CBC_T3_637_SSID","3_6_2025",22749,21087
"9","012024_BEL_CBC_T4_661_PSTR","3_6_2025",464328,425153
"10","012024_BEL_CBC_T4_663_PSTR","3_10_2025",1295,1039
"11","022024_BEL_CBC_T1_775_OANN","3_10_2025",2146,1732
"12","022024_BEL_CBC_T1_776_PSTR","3_4_2025",115016,104031
"13","022024_BEL_CBC_T2_804_OFAV","3_10_2025",5900,4830
"14","022024_BEL_CBC_T2_814_MCAV","1_2_2025",3376,2794
"15","022024_BEL_CBC_T3_851_PSTR","1_23_2025",647444,550445
"16","022024_BEL_CBC_T4_874_OFAV","3_10_2025",2133,1766
"17","022024_BEL_CBC_T4_875_MCAV","3_6_2025",198640,188376
"18","042024_BEL_CBC_T1_927_PSTR","3_6_2025",61333,57598
"19","042024_BEL_CBC_T2_1014_OFAV","3_10_2025",2258,1900
"20","042024_BEL_CBC_T2_1018_PAST","1_23_2025",2381999,2239539
"21","042024_BEL_CBC_T2_1026_OFAV","3_10_2025",680,592
"22","042024_BEL_CBC_T2_1144_MCAV","1_2_2025",751,622
"23","042024_BEL_CBC_T3_960_OFAV","1_2_2025",487,397
"24","042024_BEL_CBC_T4_1046_PSTR","3_4_2025",205803,158090
"25","042024_BEL_CBC_T4_1047_MCAV","3_10_2025",478,392
"26","052022_BEL_CBC_T1_2_SSID","1_22_2025",1016,796
"27","052022_BEL_CBC_T2_1_SSID","3_4_2025",580209,537638
"28","052022_BEL_CBC_T2_71_OFAV","2_24_2025",2606,2114
"29","052022_BEL_CBC_T2_9_PAST","2_24_2025",2943,2459
"30","052022_BEL_CBC_T3_11_PAST","2_24_2025",540,426
"31","052022_BEL_CBC_T3_13_MCAV","1_2_2025",3730,2996
"32","052022_BEL_CBC_T3_19_MCAV","1_2_2025",1347,1083
"33","052022_BEL_CBC_T3_66_OFAV","3_7_2025",107989,96814
"34","052022_BEL_CBC_T3_8_PAST","2_24_2025",2442,1902
"35","062019_BEL_CBC_T1_21_PAST","3_7_2025",46776,40162
"36","062019_BEL_CBC_T1_22_MCAV","2_24_2025",705,587
"37","062019_BEL_CBC_T2_18_MCAV","3_6_2025",63110,58377
"38","062019_BEL_CBC_T3_1_MCAV","3_7_2025",88225,82910
"39","062024_BEL_CBC_T1_1347_OANN","3_6_2025",123368,116352
"40","062024_BEL_CBC_T1_1353_MCAV","3_10_2025",3135,2488
"41","062024_BEL_CBC_T2_1375_SSID","2_26_2025",9815885,9239604
"42","062024_BEL_CBC_T2_1396_MCAV","3_4_2025",919507,871747
"43","062024_BEL_CBC_T3_1415_MCAV","3_4_2025",196009,184588
"44","062024_BEL_CBC_T3_1433_PSTR","1_2_2025",1443,1292
"45","062024_BEL_CBC_T3_1442_OFAV","2_26_2025",628275,592349
"46","082024_BEL_CBC_T1_1479_PAST","2_27_2025",3366,2969
"47","082024_BEL_CBC_T1_1482_OANN","2_26_2025",123299,114540
"48","082024_BEL_CBC_T2_1510_PAST","3_10_2025",1340,1120
"49","082024_BEL_CBC_T3_1554_OANN","1_23_2025",928732,840011
"50","082024_BEL_CBC_T3_1558_MCAV","2_26_2025",330412,308088
"51","082024_BEL_CBC_T3_1560_PSTR","3_4_2025",412870,387466
"52","082024_BEL_CBC_T3_1561_MCAV","2_26_2025",419863,391091
"53","082024_BEL_CBC_T3_1562_OFAV","2_25_2025",6252156,5933767
"54","082024_BEL_CBC_T4_1606_PSTR","2_25_2025",275304,256348
"55","082024_BEL_CBC_T4_1607_PSTR","3_10_2025",441,367
"56","082024_BEL_CBC_T4_1609_OFAV","1_23_2025",983222,932394
"57","092023_BEL_CBC_T1_171_PAST","2_27_2025",1556,1398
"58","092023_BEL_CBC_T1_175_PAST","1_22_2025",3420,2852
"59","092023_BEL_CBC_T2_174_SSID","2_27_2025",2321,2063
"60","092023_BEL_CBC_T2_181_PAST","3_4_2025",864136,782181
"61","092023_BEL_CBC_T2_184_MCAV","2_26_2025",11706940,10962487
"62","092023_BEL_CBC_T3_171_OFAV","3_6_2025",2039540,1922952
"63","092023_BEL_CBC_T3_173_OFAV","3_10_2025",2186,1742
"64","092023_BEL_CBC_T3_178_PAST","3_6_2025",768250,714495
"65","092023_BEL_CBC_T3_195_PSTR","3_6_2025",46134,43218
"66","092023_BEL_CBC_T4_92_PSTR","2_27_2025",623,500
"67","092023_BEL_CBC_T4_94_MCAV","3_10_2025",6222,4829
"68","102019_BEL_CBC_T1_29_PSTR","2_24_2025",1479,1225
"69","112023_BEL_CBC_T1_276_MCAV","2_25_2025",150280,141602
"70","112023_BEL_CBC_T2_304_OFAV","3_6_2025",801290,744380
"71","112023_BEL_CBC_T2_307_SSID","3_4_2025",849647,794125
"72","112023_BEL_CBC_T2_310_MCAV","3_4_2025",466146,415350
"73","112023_BEL_CBC_T3_352_PAST","2_25_2025",853171,709347
"74","112023_BEL_CBC_T3_355_PSTR","1_23_2025",100623,94015
"75","112023_BEL_CBC_T4_399_MCAV","1_23_2025",265563,240294
"76","112023_BEL_CBC_T4_401_MCAV","3_4_2025",267630,252243
"77","122022_BEL_CBC_T3_123_PAST","2_24_2025",528,429
"78","122022_BEL_CBC_T3_124_PAST","3_7_2025",531846,416042
"79","122022_BEL_CBC_T3_126_SSID","3_6_2025",449752,388877
"80","122022_BEL_CBC_T3_127_OFAV","3_7_2025",883470,823510
"81","122022_BEL_CBC_T3_141_PSTR","3_7_2025",642773,603880
"82","122022_BEL_CBC_T3_142_MCAV","3_7_2025",37542,34751
"83","122023_BEL_CBC_T1_507_PAST","3_4_2025",536020,492982
"84","122023_BEL_CBC_T1_508_SSID","3_6_2025",400350,379134
"85","122023_BEL_CBC_T2_513_SSID","2_27_2025",2606,2170
"86","122023_BEL_CBC_T2_515_PAST","3_6_2025",332780,311305
"87","122023_BEL_CBC_T2_518_MCAV","2_25_2025",171458,160835
"88","122023_BEL_CBC_T2_522_MCAV","3_10_2025",2040,1557
"89","122023_BEL_CBC_T3_524_OFAV","2_26_2025",474846,443097
"90","122023_BEL_CBC_T3_525_PAST","2_25_2025",588421,539732
"91","122023_BEL_CBC_T3_526_SSID","1_23_2025",176648,164150
"92","122023_BEL_CBC_T3_531_PSTR","2_25_2025",171959,160331
"93","122023_BEL_CBC_T3_532_MCAV","3_4_2025",552104,507495
"94","122023_BEL_CBC_T4_539_MCAV","2_27_2025",784,682
